year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -0.54187                -0.41758                        -0.42221                        -0.42375                        -0.42673                        -0.44821                        -0.47796                        -0.50540                        -0.52617                        -0.54095                        -0.54187                        -0.43649                        -0.52375                                -0.23018            
2009    -0.64017                -0.57857                        -0.59214                        -0.60121                        -0.60989                        -0.61218                        -0.61433                        -0.61606                        -0.62089                        -0.63237                        -0.64017                        -0.56665                        -0.64017                                -0.27761            
2010    -0.62074                -0.58669                        -0.59574                        -0.59738                        -0.60253                        -0.60608                        -0.60477                        -0.60007                        -0.60202                        -0.61090                        -0.62074                        -0.56883                        -0.60607                                -0.28762            
2011    -0.64098                -0.53051                        -0.54572                        -0.55753                        -0.57918                        -0.59843                        -0.61509                        -0.62663                        -0.63337                        -0.63854                        -0.64098                        -0.55038                        -0.64098                                -0.28825            
2012    -0.60158                -0.45345                        -0.45946                        -0.46504                        -0.47816                        -0.49924                        -0.53099                        -0.56184                        -0.58201                        -0.59510                        -0.60158                        -0.49283                        -0.60033                                -0.23135            
2013    -0.55040                -0.49838                        -0.50733                        -0.51271                        -0.52147                        -0.52970                        -0.53357                        -0.53519                        -0.53989                        -0.54718                        -0.55040                        -0.48907                        -0.46649                                -0.25243            
2014    -0.57191                -0.49826                        -0.50717                        -0.51361                        -0.52104                        -0.52579                        -0.53135                        -0.54322                        -0.55768                        -0.56834                        -0.57191                        -0.50273                        -0.53582                                -0.25069            
2015    -0.56557                -0.39913                        -0.40084                        -0.40224                        -0.40989                        -0.42682                        -0.45525                        -0.48763                        -0.51598                        -0.53934                        -0.55831                        -0.45184                        -0.53011                                -0.22603            
2016    -0.65865                -0.39870                        -0.39413                        -0.40691                        -0.42742                        -0.44175                        -0.44312                        -0.44786                        -0.46206                        -0.46330                        -0.45000                        -0.40927                        -0.43764                                -0.22935            
2017    -0.54955                -0.41463                        -0.42580                        -0.43498                        -0.45182                        -0.46762                        -0.48297                        -0.49950                        -0.51915                        -0.53552                        -0.54573                        -0.46031                        -0.53831                                -0.23176            
2018    -0.54464                -0.43888                        -0.46321                        -0.48463                        -0.51436                        -0.53169                        -0.53901                        -0.54136                        -0.54216                        -0.54464                        -0.54401                        -0.46292                        -0.54401                                -0.25194            
