year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -0.83195                -0.76152                        -0.78402                        -0.80007                        -0.82296                        -0.83195                        -0.82225                        -0.80799                        -0.78724                        -0.76352                        -0.74058                        -0.71068                        -0.81858                                -0.33512            
2009    -0.73824                -0.68356                        -0.69546                        -0.70232                        -0.71978                        -0.73315                        -0.73824                        -0.73217                        -0.71356                        -0.69161                        -0.66451                        -0.63316                        -0.72490                                -0.32414            
2010    -0.70699                -0.61611                        -0.63995                        -0.65669                        -0.68085                        -0.70039                        -0.70699                        -0.70529                        -0.69965                        -0.69395                        -0.69365                        -0.63624                        -0.66822                                -0.32768            
2011    -0.69467                -0.62388                        -0.63304                        -0.63922                        -0.64933                        -0.66178                        -0.67675                        -0.68862                        -0.69467                        -0.69199                        -0.67468                        -0.60088                        -0.66645                                -0.30197            
2012    -0.80607                -0.70904                        -0.72884                        -0.74846                        -0.78042                        -0.79765                        -0.80508                        -0.80607                        -0.79928                        -0.78700                        -0.77376                        -0.70588                        -0.77451                                -0.35843            
2013    -0.85479                -0.79162                        -0.81156                        -0.82314                        -0.83407                        -0.84096                        -0.84861                        -0.85479                        -0.85206                        -0.84425                        -0.83093                        -0.75784                        -0.84861                                -0.35905            
2014    -0.70491                -0.70148                        -0.70491                        -0.70327                        -0.69957                        -0.69958                        -0.69266                        -0.67684                        -0.65093                        -0.63316                        -0.62689                        -0.62536                        -0.68910                                -0.31039            
2015    -0.62369                -0.59968                        -0.60520                        -0.60466                        -0.60157                        -0.60498                        -0.61185                        -0.61654                        -0.62369                        -0.61810                        -0.60416                        -0.56238                        -0.60388                                -0.27947            
2016    -0.77612                -0.68704                        -0.70509                        -0.72063                        -0.74546                        -0.76612                        -0.77612                        -0.76997                        -0.75361                        -0.73796                        -0.71652                        -0.67702                        -0.76405                                -0.35586            
2017    -0.87786                -0.77681                        -0.80171                        -0.81867                        -0.84191                        -0.86293                        -0.87633                        -0.87786                        -0.86459                        -0.83712                        -0.80273                        -0.75387                        -0.86252                                -0.35272            
2018    -0.62724                -0.61532                        -0.62390                        -0.62724                        -0.62609                        -0.61923                        -0.61123                        -0.60533                        -0.60186                        -0.60619                        -0.62177                        -0.57402                        -0.60662                                -0.26889            
