year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -0.50372                -0.27563                        -0.26581                        -0.26775                        -0.28860                        -0.31858                        -0.34011                        -0.35293                        -0.35724                        -0.35318                        -0.36251                        -0.31952                        -0.26313                                -0.17082            
2009    -0.50613                -0.50288                        -0.49644                        -0.48579                        -0.46211                        -0.44052                        -0.42252                        -0.40979                        -0.40627                        -0.41444                        -0.42303                        -0.41437                        -0.50613                                -0.21044            
2010    -0.50521                -0.31103                        -0.31023                        -0.30855                        -0.30753                        -0.31326                        -0.32626                        -0.34992                        -0.38174                        -0.41027                        -0.43405                        -0.36422                        -0.31140                                -0.18009            
2011    -0.68229                -0.33255                        -0.31857                        -0.30535                        -0.28638                        -0.27397                        -0.27203                        -0.26887                        -0.27847                        -0.30118                        -0.32704                        -0.30169                        -0.28672                                -0.17552            
2012    -0.55141                -0.53338                        -0.51716                        -0.49544                        -0.46394                        -0.44898                        -0.44560                        -0.44750                        -0.44947                        -0.45239                        -0.45991                        -0.44392                        -0.54068                                -0.23417            
2013    -0.60671                -0.43845                        -0.44525                        -0.44672                        -0.44726                        -0.45670                        -0.47470                        -0.48097                        -0.47193                        -0.46034                        -0.47036                        -0.42869                        -0.40994                                -0.20494            
2014    -0.50448                -0.45662                        -0.45008                        -0.43921                        -0.41358                        -0.39554                        -0.38998                        -0.39943                        -0.41713                        -0.44506                        -0.47695                        -0.41314                        -0.45699                                -0.22045            
2015    -0.62745                -0.50837                        -0.50601                        -0.49916                        -0.47496                        -0.44702                        -0.42102                        -0.39547                        -0.38669                        -0.39277                        -0.41043                        -0.42659                        -0.49826                                -0.23083            
2016    -0.58888                -0.37994                        -0.37198                        -0.36339                        -0.34901                        -0.34136                        -0.33793                        -0.34474                        -0.35705                        -0.37706                        -0.39722                        -0.35309                        -0.38037                                -0.17197            
2017    -0.67625                -0.26668                        -0.25377                        -0.23515                        -0.22205                        -0.21809                        -0.21987                        -0.22577                        -0.23237                        -0.23145                        -0.22537                        -0.22054                        -0.27053                                -0.13221            
2018    -0.60880                -0.41852                        -0.42194                        -0.42245                        -0.42152                        -0.41322                        -0.40331                        -0.39335                        -0.38744                        -0.38785                        -0.39760                        -0.37865                        -0.39941                                -0.20039            
