year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -2.69850                -2.23380                        -2.34881                        -2.42837                        -2.48973                        -2.42758                        -2.31158                        -2.19726                        -2.08392                        -1.97975                        -1.94302                        -1.97650                        -2.48973                                -0.82580            
2009    -2.86184                -1.90297                        -1.98351                        -2.03243                        -2.06668                        -2.03875                        -1.97557                        -1.90905                        -1.83569                        -1.76506                        -1.73516                        -1.74196                        -2.06607                                -0.78027            
2010    -2.60296                -2.06292                        -2.14387                        -2.19596                        -2.29013                        -2.27190                        -2.17201                        -2.04683                        -1.93228                        -1.86684                        -1.87156                        -1.85392                        -2.21015                                -0.84026            
2011    -2.85200                -2.11642                        -2.20381                        -2.26459                        -2.32098                        -2.28350                        -2.17230                        -2.04536                        -1.93832                        -1.88332                        -1.90054                        -1.90456                        -2.31923                                -0.78641            
2012    -2.66842                -1.85959                        -1.94679                        -2.01165                        -2.09672                        -2.09029                        -2.02634                        -1.95360                        -1.88275                        -1.83733                        -1.86741                        -1.77913                        -2.08737                                -0.76737            
2013    -2.33418                -1.84147                        -1.90183                        -1.96550                        -2.01732                        -1.96633                        -1.85953                        -1.74064                        -1.64794                        -1.62169                        -1.66970                        -1.67066                        -1.92376                                -0.79700            
2014    -2.95545                -2.27715                        -2.37700                        -2.45251                        -2.54507                        -2.50210                        -2.35174                        -2.18332                        -2.03535                        -1.93964                        -1.90214                        -1.96592                        -2.52783                                -0.84693            
2015    -2.93896                -2.25849                        -2.35885                        -2.42830                        -2.51147                        -2.49280                        -2.39375                        -2.26920                        -2.13810                        -2.01860                        -1.93481                        -2.01788                        -2.50205                                -0.88800            
2016    -2.44968                -1.84923                        -1.91254                        -1.94694                        -1.95943                        -1.91210                        -1.84647                        -1.78950                        -1.74225                        -1.70523                        -1.68541                        -1.64778                        -1.90242                                -0.76706            
2017    -2.98431                -2.10828                        -2.18313                        -2.23391                        -2.25742                        -2.21242                        -2.13278                        -2.04279                        -1.94022                        -1.82808                        -1.75386                        -1.82867                        -2.23683                                -0.81197            
2018    -2.99084                -2.28151                        -2.41910                        -2.51875                        -2.61116                        -2.57333                        -2.44403                        -2.27866                        -2.11980                        -2.01997                        -2.00634                        -2.04972                        -2.46295                                -0.88794            
