year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -0.76320                -0.70389                        -0.71645                        -0.72851                        -0.75112                        -0.76320                        -0.75938                        -0.74211                        -0.71991                        -0.69637                        -0.67482                        -0.65336                        -0.71675                                -0.32617            
2009    -0.82180                -0.72469                        -0.73708                        -0.74811                        -0.77001                        -0.79313                        -0.81472                        -0.82180                        -0.81317                        -0.78353                        -0.73796                        -0.69314                        -0.77700                                -0.36830            
2010    -0.78393                -0.69186                        -0.69712                        -0.70303                        -0.72707                        -0.74801                        -0.76474                        -0.77942                        -0.78393                        -0.77153                        -0.74574                        -0.68925                        -0.78393                                -0.34290            
2011    -0.70431                -0.69045                        -0.69894                        -0.70229                        -0.70431                        -0.70268                        -0.69909                        -0.69826                        -0.69234                        -0.67805                        -0.65280                        -0.62117                        -0.67650                                -0.33159            
2012    -0.89671                -0.74714                        -0.76414                        -0.78152                        -0.81305                        -0.84084                        -0.86734                        -0.89045                        -0.89670                        -0.87752                        -0.84037                        -0.75446                        -0.86490                                -0.39714            
2013    -0.87855                -0.75869                        -0.76616                        -0.77039                        -0.78233                        -0.80692                        -0.83747                        -0.86569                        -0.87855                        -0.87227                        -0.84550                        -0.75376                        -0.87855                                -0.36814            
2014    -0.73459                -0.71317                        -0.70464                        -0.69208                        -0.67579                        -0.67922                        -0.69614                        -0.71877                        -0.73414                        -0.73459                        -0.72258                        -0.66069                        -0.73414                                -0.32659            
2015    -0.73255                -0.60699                        -0.60988                        -0.61295                        -0.62816                        -0.65292                        -0.68535                        -0.71579                        -0.73255                        -0.72757                        -0.70594                        -0.62628                        -0.72612                                -0.30583            
2016    -0.82254                -0.75869                        -0.76466                        -0.76554                        -0.76889                        -0.78409                        -0.80359                        -0.81814                        -0.82254                        -0.80835                        -0.78012                        -0.73092                        -0.81424                                -0.36194            
2017    -0.86727                -0.81193                        -0.82541                        -0.83408                        -0.85012                        -0.86014                        -0.86571                        -0.86727                        -0.85603                        -0.82546                        -0.78454                        -0.75375                        -0.85603                                -0.35671            
2018    -0.58910                -0.57968                        -0.58544                        -0.58906                        -0.58910                        -0.58346                        -0.57303                        -0.56828                        -0.56282                        -0.55235                        -0.54754                        -0.52562                        -0.55168                                -0.25653            
