year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -1.17468                -1.07445                        -1.11985                        -1.15056                        -1.17468                        -1.16011                        -1.13101                        -1.10124                        -1.07093                        -1.04757                        -1.04298                        -1.01005                        -1.15522                                -0.40842            
2009    -1.11411                -1.00180                        -1.04676                        -1.07837                        -1.11160                        -1.11411                        -1.09605                        -1.07534                        -1.04948                        -1.01665                        -0.98757                        -0.96188                        -1.07800                                -0.42694            
2010    -1.42005                -1.24274                        -1.31135                        -1.36711                        -1.42005                        -1.41216                        -1.36860                        -1.32262                        -1.28147                        -1.23387                        -1.19089                        -1.16001                        -1.39462                                -0.54293            
2011    -1.14559                -1.07195                        -1.11277                        -1.13481                        -1.14559                        -1.13492                        -1.11427                        -1.08676                        -1.05335                        -1.01754                        -0.99336                        -0.97471                        -1.14559                                -0.43698            
2012    -1.01100                -0.94600                        -0.97948                        -0.99879                        -1.01100                        -1.00242                        -0.98741                        -0.96943                        -0.94906                        -0.93277                        -0.92340                        -0.88538                        -0.99932                                -0.41416            
2013    -1.18190                -1.06250                        -1.11626                        -1.15203                        -1.18190                        -1.17187                        -1.13338                        -1.07756                        -1.02117                        -0.98209                        -0.96242                        -0.95409                        -1.16635                                -0.44656            
2014    -1.28317                -1.07173                        -1.13528                        -1.18728                        -1.25596                        -1.28317                        -1.27971                        -1.24148                        -1.17070                        -1.09229                        -1.03367                        -1.03397                        -1.25596                                -0.46310            
2015    -1.04178                -0.93821                        -0.98475                        -1.01601                        -1.04178                        -1.03133                        -1.01685                        -0.99945                        -0.97604                        -0.94356                        -0.90604                        -0.86631                        -1.01051                                -0.43077            
2016    -1.11958                -1.01174                        -1.06019                        -1.09295                        -1.11958                        -1.10371                        -1.06363                        -1.01929                        -0.98644                        -0.97102                        -0.96229                        -0.93410                        -1.10873                                -0.40869            
2017    -1.21207                -1.10718                        -1.14961                        -1.17865                        -1.21011                        -1.21207                        -1.20025                        -1.18262                        -1.15954                        -1.13680                        -1.11311                        -1.05501                        -1.19075                                -0.44970            
2018    -1.14843                -0.97947                        -1.02378                        -1.05870                        -1.10823                        -1.13655                        -1.14843                        -1.14151                        -1.12045                        -1.09299                        -1.05517                        -0.97243                        -1.10131                                -0.46345            
