year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -0.66081                -0.57176                        -0.59733                        -0.61531                        -0.63366                        -0.63932                        -0.63924                        -0.64252                        -0.65236                        -0.66081                        -0.65970                        -0.56937                        -0.65970                                -0.28644            
2009    -0.57122                -0.31127                        -0.31356                        -0.31381                        -0.30568                        -0.29623                        -0.29439                        -0.29903                        -0.31515                        -0.33625                        -0.35228                        -0.29669                        -0.33086                                -0.16448            
2010    -0.54875                -0.51603                        -0.51858                        -0.51813                        -0.51367                        -0.50770                        -0.50645                        -0.51180                        -0.52517                        -0.54227                        -0.54875                        -0.49180                        -0.53438                                -0.25708            
2011    -0.67032                -0.54904                        -0.56115                        -0.57043                        -0.58734                        -0.59667                        -0.59635                        -0.59617                        -0.60886                        -0.63888                        -0.66841                        -0.56613                        -0.66841                                -0.29716            
2012    -0.41103                -0.38084                        -0.37933                        -0.37441                        -0.36245                        -0.36312                        -0.37966                        -0.39539                        -0.40701                        -0.41103                        -0.39973                        -0.36486                        -0.38160                                -0.21273            
2013    -0.57905                -0.50169                        -0.51213                        -0.51640                        -0.51661                        -0.51831                        -0.52134                        -0.52277                        -0.52663                        -0.54213                        -0.54758                        -0.48208                        -0.54758                                -0.28151            
2014    -0.64418                -0.43866                        -0.44630                        -0.45332                        -0.46618                        -0.47807                        -0.49018                        -0.50261                        -0.52113                        -0.53761                        -0.54542                        -0.46150                        -0.54216                                -0.25615            
2015    -0.57853                -0.29155                        -0.29049                        -0.28768                        -0.28816                        -0.29914                        -0.31308                        -0.32563                        -0.34899                        -0.37410                        -0.39094                        -0.30569                        -0.29296                                -0.18412            
2016    -0.59126                -0.41610                        -0.41072                        -0.40075                        -0.38549                        -0.38445                        -0.38642                        -0.38747                        -0.38817                        -0.39485                        -0.40961                        -0.38099                        -0.40702                                -0.19155            
2017    -0.46171                -0.34321                        -0.34852                        -0.35121                        -0.35607                        -0.36113                        -0.36367                        -0.36672                        -0.38170                        -0.40962                        -0.44056                        -0.36625                        -0.44056                                -0.18772            
2018    -0.48118                -0.44141                        -0.44751                        -0.45241                        -0.46242                        -0.47256                        -0.47865                        -0.47499                        -0.47004                        -0.46634                        -0.46612                        -0.42714                        -0.45403                                -0.24088            
