year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -0.60382                -0.54814                        -0.55567                        -0.56003                        -0.56594                        -0.56955                        -0.58080                        -0.59460                        -0.60222                        -0.60382                        -0.59894                        -0.52330                        -0.55874                                -0.28506            
2009    -0.54946                -0.35601                        -0.35828                        -0.35991                        -0.35634                        -0.34626                        -0.35066                        -0.35980                        -0.36414                        -0.35920                        -0.34754                        -0.32356                        -0.30923                                -0.18732            
2010    -0.63695                -0.57777                        -0.58386                        -0.58837                        -0.59880                        -0.61031                        -0.62339                        -0.63517                        -0.63695                        -0.62510                        -0.61015                        -0.55956                        -0.63695                                -0.28668            
2011    -0.64529                -0.57628                        -0.58099                        -0.58510                        -0.59662                        -0.61177                        -0.62877                        -0.64195                        -0.64529                        -0.64417                        -0.64381                        -0.57399                        -0.63029                                -0.30183            
2012    -0.42764                -0.36879                        -0.35809                        -0.34857                        -0.34095                        -0.34672                        -0.36163                        -0.37740                        -0.40363                        -0.42381                        -0.42764                        -0.35817                        -0.34208                                -0.21263            
2013    -0.58040                -0.48458                        -0.48651                        -0.48712                        -0.49306                        -0.50914                        -0.53564                        -0.56274                        -0.57705                        -0.58040                        -0.57177                        -0.49007                        -0.57171                                -0.28631            
2014    -0.64235                -0.44742                        -0.44944                        -0.44780                        -0.44709                        -0.46046                        -0.49630                        -0.54421                        -0.58324                        -0.60491                        -0.60944                        -0.48257                        -0.58324                                -0.26848            
2015    -0.54209                -0.30620                        -0.29021                        -0.27353                        -0.24920                        -0.26374                        -0.29693                        -0.33390                        -0.36530                        -0.38866                        -0.39896                        -0.30811                        -0.32824                                -0.19091            
2016    -0.59345                -0.40360                        -0.38425                        -0.36421                        -0.33842                        -0.34426                        -0.38552                        -0.44744                        -0.50215                        -0.53154                        -0.53515                        -0.42408                        -0.50215                                -0.20991            
2017    -0.42467                -0.32785                        -0.31785                        -0.30618                        -0.28708                        -0.28170                        -0.29583                        -0.32366                        -0.35510                        -0.38330                        -0.41144                        -0.32717                        -0.35044                                -0.17749            
2018    -0.46506                -0.46229                        -0.45458                        -0.44552                        -0.43035                        -0.42297                        -0.42689                        -0.43737                        -0.44325                        -0.44075                        -0.43130                        -0.40279                        -0.43789                                -0.23348            
