year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -0.68037                -0.67866                        -0.67105                        -0.66458                        -0.66073                        -0.66493                        -0.67343                        -0.67194                        -0.65713                        -0.63191                        -0.60948                        -0.61482                        -0.67194                                -0.32089            
2009    -0.79896                -0.69649                        -0.70403                        -0.70758                        -0.71970                        -0.74335                        -0.77060                        -0.79526                        -0.79896                        -0.77398                        -0.73266                        -0.68670                        -0.79526                                -0.32568            
2010    -0.74619                -0.70507                        -0.65867                        -0.64771                        -0.63276                        -0.62843                        -0.63174                        -0.63827                        -0.64005                        -0.63012                        -0.61213                        -0.60972                        -0.59574                                -0.33644            
2011    -0.82960                -0.77999                        -0.76389                        -0.76819                        -0.78001                        -0.79540                        -0.81482                        -0.82960                        -0.82410                        -0.79018                        -0.74528                        -0.73049                        -0.82815                                -0.37713            
2012    -0.82534                -0.69972                        -0.71443                        -0.73048                        -0.76492                        -0.79707                        -0.81945                        -0.82534                        -0.82045                        -0.80801                        -0.78640                        -0.71583                        -0.82534                                -0.32865            
2013    -0.80036                -0.71959                        -0.72053                        -0.71503                        -0.70624                        -0.71855                        -0.75009                        -0.78228                        -0.80036                        -0.79849                        -0.78090                        -0.70165                        -0.78228                                -0.36480            
2014    -0.81245                -0.76508                        -0.71498                        -0.67978                        -0.66356                        -0.67896                        -0.72232                        -0.76913                        -0.79687                        -0.79845                        -0.78271                        -0.71942                        -0.76913                                -0.36999            
2015    -0.88712                -0.85684                        -0.85796                        -0.85654                        -0.85425                        -0.85880                        -0.87597                        -0.88712                        -0.88188                        -0.86500                        -0.85262                        -0.81381                        -0.88389                                -0.39952            
2016    -0.83778                -0.81414                        -0.77107                        -0.71471                        -0.67468                        -0.67352                        -0.68803                        -0.70245                        -0.70217                        -0.68586                        -0.65745                        -0.67816                        -0.69585                                -0.34326            
2017    -0.71927                -0.65529                        -0.63823                        -0.62071                        -0.59588                        -0.59029                        -0.60976                        -0.64474                        -0.67026                        -0.67526                        -0.66260                        -0.61000                        -0.64330                                -0.31823            
2018    -0.85564                -0.85564                        -0.85542                        -0.85126                        -0.84157                        -0.83574                        -0.83944                        -0.84589                        -0.84288                        -0.81560                        -0.76799                        -0.75391                        -0.84509                                -0.37320            
